order_id,customer_id,estimated_delivery_date,order_date,order_status,total_price
89330014,87696351,18/08/2020,16/08/2020,shipped,666.27
17999652,82757554,17/06/2020,11/06/2020,pending,1052.07
98870737,76391110,11/01/2023,08/01/2023,shipped,7425.36
94440522,91750637,11/12/2021,10/12/2021,cancelled,380.48
65387368,89164479,14/10/2021,13/10/2021,cancelled,38.45
59314372,55019874,09/06/2023,04/06/2023,cancelled,222.04
37292606,00639625,24/11/2021,20/11/2021,shipped,1167.80
53321230,59878574,09/11/2023,05/11/2023,shipped,143.60
51909352,78734798,19/09/2021,18/09/2021,shipped,49.68
77012609,01501112,18/12/2022,15/12/2022,pending,395.10
02378140,12405407,13/08/2022,09/08/2022,pending,425.28
61515945,74106642,17/11/2022,14/11/2022,cancelled,217.66
93913172,23293126,30/07/2022,25/07/2022,pending,3312.66
32787468,40280925,08/12/2023,07/12/2023,cancelled,314.84
79686946,57739797,14/07/2020,10/07/2020,pending,189.24
03517096,96558739,29/07/2021,25/07/2021,pending,11.04
35621416,87533614,10/10/2020,09/10/2020,pending,238.71
03389095,75509325,20/09/2022,19/09/2022,cancelled,160.51
58771718,08575435,03/01/2024,30/12/2023,shipped,143.97
18382072,96778440,26/03/2021,23/03/2021,shipped,71.88
78239120,81166004,12/08/2023,09/08/2023,pending,62.01
32972135,04374438,27/08/2020,23/08/2020,cancelled,139.49
15751948,20457333,31/10/2021,27/10/2021,cancelled,99.22
81274876,03088299,19/01/2022,17/01/2022,cancelled,1356.14
38980455,90445314,27/08/2022,22/08/2022,cancelled,27.62
34189658,24460204,02/10/2022,29/09/2022,cancelled,973.74
97329027,89534453,02/07/2021,26/06/2021,cancelled,50.16
96311301,12267203,26/10/2023,23/10/2023,cancelled,41.54
69686758,56208537,20/11/2023,16/11/2023,pending,54.99
06761466,27132729,01/11/2020,30/10/2020,cancelled,1795.56
64361079,46783251,20/05/2022,19/05/2022,pending,44.88
23748743,95860862,16/04/2020,14/04/2020,shipped,841.71
22764329,47706396,07/08/2021,03/08/2021,cancelled,145.59
31440021,57246185,18/09/2022,15/09/2022,pending,289.73
34736877,85595948,06/01/2022,05/01/2022,pending,836.20
93240095,96794801,12/11/2022,10/11/2022,shipped,103.06
54364215,06860096,27/01/2020,26/01/2020,shipped,3939.68
93122330,12645743,24/05/2023,19/05/2023,pending,92.73
07348998,12012395,30/11/2021,29/11/2021,shipped,3795.92
73649739,44300600,07/05/2023,05/05/2023,cancelled,53.38
78837907,37411471,03/07/2023,28/06/2023,pending,303.60
