product_id,category_id,supplier_id,product_name,product_sku,product_description,price,product_quantity
95514443,00000004,816319,Summer Dress NiG,FRV-47547729,summer dress nig for fashion.,37.65,72
29906371,00000003,569909,Luxury Sheets Set kz6,IES-08384805,luxury sheets set kz6 for home & kitchen.,78.94,37
26063996,00000002,730030,Laptop Pro 15 Oeu,NLB-45688862,laptop pro 15 oeu for electronics.,202.69,56
34280151,00000001,723699,Cooking 101 Vbo,KWU-27208166,cooking 101 vbo for books.,23.06,48
85788104,00000001,331565,Cooking 101 JI9,MTW-77144277,cooking 101 ji9 for books.,46.67,1
17558253,00000008,273307,Organic Honey yOl,NIJ-12438001,organic honey yol for groceries.,9.14,90
02255654,00000007,688117,Camping Tent ei8,JFN-03026457,camping tent ei8 for sports & outdoors.,72.48,60
19916146,00000005,832325,Hydrating Face Cream KnS,BNJ-10725886,hydrating face cream kns for beauty & personal care.,79.8,5
04057937,00000003,606222,Premium Blender UXD,JCP-75437152,premium blender uxd for home & kitchen.,620.52,71
41025600,00000005,210972,Hydrating Face Cream nLs,GEX-64018047,hydrating face cream nls for beauty & personal care.,55,20
27167332,00000003,559229,Premium Blender PNv,GSM-63496948,premium blender pnv for home & kitchen.,113.17,32
00439994,00000001,189944,Cooking 101 2IN,PPT-01030709,cooking 101 2in for books.,35.5,40
93158999,00000001,785532,Cooking 101 F7l,PPC-37581039,cooking 101 f7l for books.,36.32,71
57323486,00000005,673864,Hydrating Face Cream 7CG,JCE-13101938,hydrating face cream 7cg for beauty & personal care.,30.65,69
94482326,00000007,927074,Camping Tent ojN,QIZ-36726370,camping tent ojn for sports & outdoors.,81.76,65
37188470,00000008,471607,Whole Grain Bread qSK,CKY-95771765,whole grain bread qsk for groceries.,43.44,93
43823817,00000001,015232,The Great Adventure jDp,GYJ-46494342,the great adventure jdp for books.,26.69,26
76580443,00000005,600806,Eau de Toilette p3C,REM-67338597,eau de toilette p3c for beauty & personal care.,47.45,83
25292977,00000007,999243,Camping Tent UeT,SOU-85877660,camping tent uet for sports & outdoors.,22.12,91
76446395,00000006,682522,Action Figure sER,HLV-26363723,action figure ser for toys & games.,22.32,3
99506843,00000001,708835,Cooking 101 p91,LBP-06758903,cooking 101 p91 for books.,9.97,41
93044934,00000004,334476,Summer Dress BLM,MMR-88221825,summer dress blm for fashion.,40.58,85
42665287,00000007,369327,Camping Tent Zcy,XHU-99779544,camping tent zcy for sports & outdoors.,75.33,81
