transaction_id,customer_id,order_id,receipt_invoice,transaction_method,transaction_date
332317,87696351,89330014,Yno-28111529,Bank Transfer,16/08/2020
865786,82757554,17999652,TOI-92454632,Bank Transfer,11/06/2020
833535,76391110,98870737,AOK-49076384,Credit Card,08/01/2023
671883,91750637,94440522,bwP-69080464,Bank Transfer,10/12/2021
468093,89164479,65387368,Gpk-89264959,Bank Transfer,13/10/2021
785979,55019874,59314372,OpN-72124078,Credit Card,04/06/2023
302672,00639625,37292606,lmp-17729533,Credit Card,20/11/2021
421064,59878574,53321230,wHM-61646350,PayPal,05/11/2023
681643,78734798,51909352,Gqr-65704923,Credit Card,18/09/2021
896507,01501112,77012609,zYt-15294192,Bank Transfer,15/12/2022
645290,12405407,02378140,xGg-19600608,Bank Transfer,09/08/2022
923333,74106642,61515945,LUF-17321771,PayPal,14/11/2022
650078,23293126,93913172,CnP-03426727,Credit Card,25/07/2022
896858,40280925,32787468,YOJ-42344056,Bank Transfer,07/12/2023
836600,57739797,79686946,bPN-25165420,Credit Card,10/07/2020
503624,96558739,03517096,aka-96031480,PayPal,25/07/2021
783234,87533614,35621416,gEo-44553690,Credit Card,09/10/2020
599366,75509325,03389095,KHF-88180930,PayPal,19/09/2022
356547,08575435,58771718,mbM-50584995,PayPal,30/12/2023
904748,96778440,18382072,aYm-99467142,Bank Transfer,23/03/2021
746438,81166004,78239120,NHS-59200335,PayPal,09/08/2023
842151,04374438,32972135,wUq-06697672,Bank Transfer,23/08/2020
847013,20457333,15751948,EBK-26907758,Credit Card,27/10/2021
539628,03088299,81274876,dOl-05597143,PayPal,17/01/2022
971011,90445314,38980455,SNg-46271212,Bank Transfer,22/08/2022
485412,24460204,34189658,jix-64273520,Credit Card,29/09/2022
838703,89534453,97329027,ZhQ-28437116,Credit Card,26/06/2021
144433,12267203,96311301,pEf-37056086,PayPal,23/10/2023
252689,56208537,69686758,nrJ-76839616,Bank Transfer,16/11/2023
350781,27132729,06761466,QQq-38324703,PayPal,30/10/2020
862138,46783251,64361079,JNM-78667954,Credit Card,19/05/2022
690189,95860862,23748743,vAp-38010543,PayPal,14/04/2020
190327,47706396,22764329,yGY-15770276,Credit Card,03/08/2021
605172,57246185,31440021,GPw-26706043,Credit Card,15/09/2022
611810,85595948,34736877,pVi-26218987,PayPal,05/01/2022
902882,96794801,93240095,BWP-35635233,Credit Card,10/11/2022
480375,06860096,54364215,vRl-84921604,Credit Card,26/01/2020
103913,12645743,93122330,wwA-16434244,Credit Card,19/05/2023
412480,12012395,07348998,DDj-75152005,Credit Card,29/11/2021
567349,44300600,73649739,kpy-08612666,Bank Transfer,05/05/2023
832447,37411471,78837907,qDE-64578640,Credit Card,28/06/2023
372087,52567794,40706777,YRT-61940526,PayPal,05/11/2020
123751,16408302,62007892,vAZ-56319584,Credit Card,19/10/2020
835461,60882179,27577476,rch-53522739,Bank Transfer,03/10/2020
252257,63242509,38173835,KJa-21280196,Bank Transfer,11/02/2020
253047,83841145,88228254,ZLk-02189173,PayPal,22/08/2020
391385,31430062,52073883,AtF-81904967,Credit Card,07/03/2021
792790,58218200,24631667,wga-20676616,PayPal,03/10/2022
201086,57206320,75611551,dzL-50682150,Bank Transfer,08/09/2022
949650,57888691,31440021,DYc-20906354,PayPal,15/12/2022
438950,61291840,30992678,NNM-71631181,Credit Card,13/01/2023
560519,24633315,99742074,zdY-78776637,Bank Transfer,09/02/2021
400045,00403636,41854631,FXT-62694782,Bank Transfer,03/10/2023
894101,82979001,62329687,kXk-72213973,PayPal,08/03/2023
387601,29945909,85080821,fAN-45419301,PayPal,03/06/2022
520884,52032920,93619969,QRt-24420038,PayPal,04/05/2020
433405,67721118,01699543,Ytn-82818533,Bank Transfer,16/10/2023
128749,80633082,20542796,SJh-85127595,Credit Card,11/01/2023
688090,07955981,30434217,ndY-67421962,PayPal,14/03/2023
810736,41985669,00442991,sSb-69519336,Bank Transfer,17/01/2020
983343,50126148,64068117,uAB-74929635,Credit Card,22/05/2021
320256,06194590,19231768,GuP-02496436,PayPal,06/02/2023
512534,30344570,40221212,KRW-31017643,Bank Transfer,24/01/2021
181062,25287177,93913172,NqB-24920957,Credit Card,07/02/2023
731875,30134521,29171464,OaG-69207542,PayPal,06/06/2021
397123,36081471,01451523,fvB-62682769,Bank Transfer,30/03/2023
566206,53923836,65984505,UTH-91615585,Credit Card,23/06/2023
164436,25356690,90954678,zZs-67057033,Bank Transfer,01/11/2022
562062,55626154,71266599,uFX-12114276,Credit Card,04/03/2022
634292,02925052,94739747,itx-96804258,Credit Card,08/04/2020
613952,94868185,88590412,VSV-67056535,PayPal,06/09/2020
659211,84069850,92458986,ltR-54247767,Credit Card,22/01/2023
223823,97378848,63334493,KiX-69767669,Bank Transfer,27/11/2023
965829,23154316,40243953,yjs-69570624,PayPal,17/06/2023
532963,29793802,42624768,zFX-17304044,Credit Card,22/08/2021
190472,55231748,42622752,LYr-93600445,PayPal,10/09/2020
282972,52155307,65100224,mWo-87515360,PayPal,15/07/2021
983111,49376302,01165798,RDL-88047405,Credit Card,13/01/2023
702040,63586435,66714579,FDB-97195476,Credit Card,11/05/2021
705233,73568883,99044916,DQx-88675257,PayPal,16/03/2020
567601,69397520,74787648,iIe-57150224,Credit Card,27/06/2021
199695,96855468,88645666,FrN-08592242,Credit Card,14/07/2021
427048,86776586,77107235,goe-70937004,Bank Transfer,18/02/2022
118028,09949267,02772585,PyF-83166822,Credit Card,20/10/2022
266786,62624741,88662517,kXT-90458371,Bank Transfer,02/12/2020
335560,65198623,16236144,cAi-02377812,PayPal,06/09/2022
948475,35402241,90847977,bWn-18064256,Credit Card,24/01/2022
986398,92169391,26227106,wNi-07989674,Credit Card,30/08/2023
473639,19921381,53948821,iGk-08115553,Bank Transfer,26/08/2022
