product_id,product_name,price,category,brand,stock_quantity,release_date
1,Ms,26.61,electronics,Twimm,7423,8/3/2012
2,Dr,155.77,beauty,Quaxo,5738,9/30/2021
3,Mr,126.93,toys,Yakijo,2178,7/13/2011
4,Rev,920.84,toys,Quimm,5692,6/17/2017
5,Rev,269.64,home goods,Twitterworks,1875,6/16/2016
6,Honorable,906.9,home goods,Fadeo,9070,5/21/2017
7,Ms,155.98,electronics,InnoZ,6366,5/19/2017
8,Honorable,33.97,clothing,Jaxspan,6994,10/22/2013
9,Honorable,742.5,home goods,Eabox,1572,3/16/2014
10,Rev,184.59,beauty,Mybuzz,3510,8/30/2015
11,Honorable,302.4,electronics,Brainbox,9506,5/6/2011
12,Dr,433.88,electronics,Rhybox,4738,9/3/2017
13,Honorable,138.66,toys,Plajo,5114,12/19/2020
14,Mrs,72.08,electronics,Feedspan,4480,9/11/2011
15,Mrs,318.01,beauty,Yacero,6191,5/3/2014
16,Mr,690.34,beauty,Skinix,9778,8/6/2012
17,Mr,706.1,toys,Skiptube,2430,1/10/2016
18,Honorable,782.61,clothing,Photospace,2831,1/8/2017
19,Mrs,262.27,home goods,Trunyx,2300,3/2/2020
20,Mr,167.8,clothing,Livetube,3136,3/16/2011
21,Dr,479.38,clothing,Dablist,3318,4/30/2019
22,Honorable,287.56,home goods,Mynte,7293,4/21/2014
23,Mrs,676.45,clothing,Feedspan,9694,9/14/2010
24,Mr,148.79,electronics,Edgeblab,3832,12/16/2010
25,Mrs,512.05,electronics,Zoomdog,3341,12/15/2016
26,Ms,967.09,toys,Yotz,7077,3/31/2011
27,Rev,631.38,home goods,Riffwire,1122,10/26/2018
28,Honorable,240.76,beauty,Yacero,1723,2/25/2011
29,Dr,118.01,toys,Dabshots,6347,5/8/2018
30,Mr,960.24,beauty,Brainsphere,2955,8/5/2021
31,Dr,198.1,clothing,Mybuzz,9650,10/8/2013
32,Ms,931.81,beauty,Youfeed,8623,11/3/2012
33,Mr,354.24,clothing,Flipopia,3693,3/3/2012
34,Ms,627.09,clothing,Brainlounge,2536,12/14/2014
35,Rev,515.89,beauty,Buzzbean,2025,7/5/2021
36,Dr,280.76,beauty,Yakijo,8477,11/25/2014
37,Honorable,472.28,beauty,Quamba,3161,4/14/2017
38,Mrs,408.64,home goods,Abatz,4521,2/28/2012
39,Ms,970.38,toys,Centimia,198,9/3/2010
40,Mr,566.38,clothing,Twitterwire,386,4/24/2019
41,Rev,478.62,beauty,Gabcube,9882,12/3/2021
42,Mrs,149.64,electronics,Buzzdog,3236,11/25/2012
43,Rev,776.5,electronics,Youbridge,839,7/5/2012
44,Mr,188.26,clothing,Riffpath,1241,11/19/2017
45,Rev,867.36,electronics,Quinu,6093,9/8/2019
46,Honorable,714.59,toys,Yata,4372,7/22/2021
47,Rev,587.48,electronics,Gabtune,2499,10/15/2014
48,Rev,938.71,home goods,Skinix,9975,3/7/2018
49,Rev,529.93,toys,Trupe,445,9/13/2012
50,Dr,579.03,electronics,Centizu,9463,5/2/2020
51,Ms,391.21,electronics,Centidel,9393,12/14/2018
52,Ms,634.71,electronics,Demimbu,7121,11/8/2018
53,Dr,403.61,toys,Fanoodle,7181,5/26/2015
54,Ms,286.64,toys,InnoZ,3010,10/30/2013
55,Mrs,25.12,home goods,Vitz,4461,5/12/2018
56,Dr,710.78,beauty,Skimia,2695,11/6/2011
57,Honorable,237.74,beauty,Latz,971,12/17/2013
58,Mr,283.87,home goods,Abata,5413,6/18/2016
59,Rev,210.14,home goods,Skimia,905,2/15/2022
60,Mrs,912.03,toys,Geba,1070,3/13/2013
61,Mr,578.58,beauty,Oozz,4392,12/30/2010
62,Rev,533.22,home goods,Photospace,9857,5/25/2014
63,Mrs,176.04,electronics,Thoughtstorm,5012,9/30/2015
64,Mr,509.55,clothing,Avaveo,7377,6/10/2020
65,Mrs,48.1,clothing,Realmix,2346,3/31/2022
66,Mrs,790.35,clothing,Aimbo,788,2/3/2012
67,Mrs,649.93,clothing,Dabjam,4686,8/30/2016
68,Mr,679.3,electronics,Pixoboo,1662,5/22/2019
69,Mr,480.95,toys,Skajo,7115,9/11/2016
70,Mrs,158.96,beauty,Abata,9550,11/10/2014
71,Ms,136.6,toys,Pixonyx,9184,1/15/2017
72,Ms,257.91,electronics,Shufflebeat,4243,5/18/2020
73,Honorable,463.14,beauty,Jabbersphere,9641,11/18/2022
74,Honorable,975.71,toys,Meezzy,4735,11/27/2011
75,Ms,328.01,electronics,Skyble,8443,2/7/2014
76,Ms,213.63,toys,Skaboo,5711,10/31/2022
77,Mrs,835.11,clothing,Trupe,680,8/27/2019
78,Honorable,443.36,home goods,Topicware,1338,9/19/2012
79,Mr,969.58,beauty,Tagpad,7691,8/30/2014
80,Mrs,4.71,home goods,Vimbo,9741,5/19/2017
81,Mr,461.72,toys,Skaboo,459,1/11/2019
82,Mr,813.63,home goods,Zoonoodle,3108,11/30/2022
83,Honorable,710.82,toys,Meevee,6364,7/30/2015
84,Rev,251.49,clothing,Oyonder,2075,5/10/2013
85,Honorable,586.0,home goods,Kamba,797,3/30/2012
86,Mrs,131.96,home goods,Topiczoom,1478,10/16/2012
87,Ms,723.41,clothing,Dabfeed,1172,6/28/2018
88,Mr,851.14,home goods,Edgepulse,1462,11/6/2016
89,Dr,116.08,beauty,Edgetag,2004,2/26/2015
90,Mr,191.2,beauty,Oyoloo,4700,7/24/2011
91,Honorable,80.7,electronics,Wordtune,4356,8/13/2012
92,Ms,97.2,home goods,Fanoodle,4101,12/1/2022
93,Ms,597.1,home goods,Agivu,5794,3/2/2015
94,Dr,941.44,clothing,Skinix,7383,7/6/2022
95,Mrs,510.37,clothing,Zoomlounge,4276,8/11/2014
96,Mr,465.75,beauty,Quinu,5105,12/12/2015
97,Mrs,586.73,home goods,Talane,8594,3/27/2021
98,Dr,906.95,clothing,Photojam,2425,2/4/2022
99,Honorable,500.37,home goods,Vipe,5302,10/11/2018
100,Mr,197.68,toys,Gevee,3799,5/28/2021
101,Honorable,93.02,home goods,Skidoo,9511,3/31/2015
102,Mr,359.81,toys,Zoombox,1120,8/26/2018
103,Mr,184.06,clothing,Twimm,8952,4/8/2015
104,Mr,581.18,beauty,Mudo,947,7/15/2021
105,Honorable,371.9,electronics,Photofeed,2230,6/2/2016
106,Ms,388.31,beauty,Tambee,5108,4/11/2012
107,Rev,163.34,home goods,Eimbee,9911,3/2/2011
108,Dr,154.45,electronics,Voolia,8671,10/29/2022
109,Rev,712.93,electronics,Latz,5622,9/2/2021
110,Honorable,371.05,toys,Kwinu,3344,12/5/2010
111,Mr,895.26,toys,Skippad,5880,12/4/2017
112,Rev,269.77,home goods,Feednation,9903,9/16/2022
113,Mr,723.02,clothing,Minyx,3031,3/17/2012
114,Rev,298.1,clothing,Wordware,7149,1/16/2018
115,Dr,338.67,toys,Blognation,7513,8/27/2018
116,Mr,307.95,toys,Gabvine,9744,8/7/2018
117,Ms,798.85,electronics,Zazio,5276,3/20/2018
118,Rev,620.92,beauty,Pixonyx,5312,9/5/2019
119,Mr,138.77,beauty,Brainbox,5804,2/24/2020
120,Honorable,703.89,beauty,Oodoo,5404,8/13/2022
121,Honorable,426.59,clothing,Kazio,3437,3/29/2020
122,Ms,796.59,clothing,Devbug,6343,3/30/2013
123,Honorable,869.4,clothing,Wikibox,6239,4/14/2015
124,Mr,823.71,beauty,Eazzy,4481,1/3/2014
125,Mrs,398.23,beauty,Miboo,8278,1/31/2021
126,Honorable,279.14,clothing,Zazio,9919,7/24/2010
127,Ms,300.88,toys,Feedfire,5622,3/5/2013
128,Dr,548.02,home goods,Yambee,4568,3/25/2016
129,Ms,394.87,clothing,Photofeed,335,3/21/2019
130,Mrs,788.59,beauty,Aivee,4956,8/11/2012
131,Dr,188.02,electronics,Browsecat,4239,11/10/2022
132,Mr,476.41,electronics,Oyoloo,3728,4/21/2015
133,Mrs,363.83,toys,Flashdog,1086,6/18/2017
134,Mrs,697.06,home goods,Voonix,9097,10/7/2018
135,Dr,350.5,clothing,Avamba,6486,7/23/2018
136,Rev,503.31,clothing,Skynoodle,7169,3/6/2014
137,Rev,226.35,clothing,Topicware,8825,6/11/2012
138,Ms,609.16,clothing,Rooxo,409,11/15/2019
139,Honorable,943.11,beauty,Twitterbeat,3721,3/1/2018
140,Mrs,62.77,electronics,Mynte,9492,12/1/2019
141,Honorable,57.4,beauty,Centimia,4846,6/2/2011
142,Mr,928.01,toys,Browsezoom,9039,12/8/2022
143,Rev,279.78,electronics,Skynoodle,6980,9/3/2018
144,Dr,352.96,clothing,Chatterbridge,7378,8/26/2013
145,Mr,115.73,beauty,Twitterwire,8193,2/25/2014
146,Dr,899.87,clothing,Meembee,9754,5/4/2019
147,Honorable,82.0,toys,Skyndu,2901,3/6/2017
148,Mrs,207.21,electronics,Yodo,1702,10/31/2019
149,Mrs,621.41,beauty,Tagcat,4590,11/24/2015
150,Dr,307.4,beauty,Katz,2221,8/23/2022
151,Ms,754.77,clothing,Twiyo,4823,7/15/2017
152,Mrs,610.23,clothing,Leexo,8485,7/29/2019
153,Dr,579.87,home goods,Twimbo,4116,7/26/2017
154,Mr,256.92,home goods,Eadel,2956,8/9/2015
155,Mr,75.43,beauty,Wikizz,4542,5/12/2016
156,Ms,969.33,electronics,Eazzy,653,12/6/2017
157,Mr,452.85,home goods,BlogXS,3224,1/8/2010
