transaction_id,customer_id,order_id,receipt_invoice,transaction_method,transaction_date
332317,87696351,89330014,Yno-28111529,Bank Transfer,16/8/2020
865786,82757554,17999652,TOI-92454632,Bank Transfer,11/6/2020
833535,76391110,98870737,AOK-49076384,Credit Card,8/1/2023
671883,91750637,94440522,bwP-69080464,Bank Transfer,10/12/2021
468093,89164479,65387368,Gpk-89264959,Bank Transfer,13/10/2021
785979,55019874,59314372,OpN-72124078,Credit Card,4/6/2023
302672,639625,37292606,lmp-17729533,Credit Card,20/11/2021
421064,59878574,53321230,wHM-61646350,PayPal,5/11/2023
681643,78734798,51909352,Gqr-65704923,Credit Card,18/9/2021
896507,1501112,77012609,zYt-15294192,Bank Transfer,15/12/2022
645290,12405407,2378140,xGg-19600608,Bank Transfer,9/8/2022
923333,74106642,61515945,LUF-17321771,PayPal,14/11/2022
650078,23293126,93913172,CnP-03426727,Credit Card,25/7/2022
896858,40280925,32787468,YOJ-42344056,Bank Transfer,7/12/2023
836600,57739797,79686946,bPN-25165420,Credit Card,10/7/2020
503624,96558739,3517096,aka-96031480,PayPal,25/7/2021
783234,87533614,35621416,gEo-44553690,Credit Card,9/10/2020
599366,75509325,3389095,KHF-88180930,PayPal,19/9/2022
356547,8575435,58771718,mbM-50584995,PayPal,30/12/2023
904748,96778440,18382072,aYm-99467142,Bank Transfer,23/3/2021
746438,81166004,78239120,NHS-59200335,PayPal,9/8/2023
842151,4374438,32972135,wUq-06697672,Bank Transfer,23/8/2020
847013,20457333,15751948,EBK-26907758,Credit Card,27/10/2021
539628,3088299,81274876,dOl-05597143,PayPal,17/1/2022
971011,90445314,38980455,SNg-46271212,Bank Transfer,22/8/2022
485412,24460204,34189658,jix-64273520,Credit Card,29/9/2022
838703,89534453,97329027,ZhQ-28437116,Credit Card,26/6/2021
144433,12267203,96311301,pEf-37056086,PayPal,23/10/2023
252689,56208537,69686758,nrJ-76839616,Bank Transfer,16/11/2023
350781,27132729,6761466,QQq-38324703,PayPal,30/10/2020
862138,46783251,64361079,JNM-78667954,Credit Card,19/5/2022
690189,95860862,23748743,vAp-38010543,PayPal,14/4/2020
190327,47706396,22764329,yGY-15770276,Credit Card,3/8/2021
605172,57246185,31440021,GPw-26706043,Credit Card,15/9/2022
611810,85595948,34736877,pVi-26218987,PayPal,5/1/2022
902882,96794801,93240095,BWP-35635233,Credit Card,10/11/2022
480375,6860096,54364215,vRl-84921604,Credit Card,26/1/2020
103913,12645743,93122330,wwA-16434244,Credit Card,19/5/2023
412480,12012395,7348998,DDj-75152005,Credit Card,29/11/2021
567349,44300600,73649739,kpy-08612666,Bank Transfer,5/5/2023
832447,37411471,78837907,qDE-64578640,Credit Card,28/6/2023
372087,52567794,40706777,YRT-61940526,PayPal,5/11/2020
123751,16408302,62007892,vAZ-56319584,Credit Card,19/10/2020
835461,60882179,27577476,rch-53522739,Bank Transfer,3/10/2020
252257,63242509,38173835,KJa-21280196,Bank Transfer,11/2/2020
253047,83841145,88228254,ZLk-02189173,PayPal,22/8/2020
391385,31430062,52073883,AtF-81904967,Credit Card,7/3/2021
792790,58218200,24631667,wga-20676616,PayPal,3/10/2022
201086,57206320,75611551,dzL-50682150,Bank Transfer,8/9/2022
949650,61291840,30992678,DYc-20906354,PayPal,13/1/2023
